index,status,exit_code,elapsed_seconds,label,domain,method,adaptive,hierarchical,fixed_weather,seed,budget,summary_json,deterministic_return,stochastic_return_mean,stochastic_return_std,baseline_best_return,uplift_vs_best_baseline_det,pak_holdout_return,command
1,DRY_RUN,0,0.0,Fertilization | PPO | adaptive | fixed_weather | years=1000 | seed=0,fertilization,PPO,True,False,True,0,total_years=1000,runs\experiment_summaries\metrics\001_fertilization_ppo_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 0 --nutrient-action-mode NPK --price-profile pakistan_baseline --maxN 150.0 --maxP 80.0 --maxK 60.0 --p-actions 11 --k-actions 11 --n-nh4-rate 0.75 --fixed-weather --summary-json 'runs\experiment_summaries\metrics\001_fertilization_ppo_seed0_hFalse.json'
2,DRY_RUN,0,0.0,Fertilization | PPO | nonadaptive | fixed_weather | years=1000 | seed=0,fertilization,PPO,False,False,True,0,total_years=1000,runs\experiment_summaries\metrics\002_fertilization_ppo_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 0 --nutrient-action-mode NPK --price-profile pakistan_baseline --maxN 150.0 --maxP 80.0 --maxK 60.0 --p-actions 11 --k-actions 11 --n-nh4-rate 0.75 --fixed-weather --nonadaptive --summary-json 'runs\experiment_summaries\metrics\002_fertilization_ppo_seed0_hFalse.json'
3,DRY_RUN,0,0.0,Fertilization | PPO | adaptive | random_weather | years=1000 | seed=0,fertilization,PPO,True,False,False,0,total_years=1000,runs\experiment_summaries\metrics\003_fertilization_ppo_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 0 --nutrient-action-mode NPK --price-profile pakistan_baseline --maxN 150.0 --maxP 80.0 --maxK 60.0 --p-actions 11 --k-actions 11 --n-nh4-rate 0.75 --summary-json 'runs\experiment_summaries\metrics\003_fertilization_ppo_seed0_hFalse.json'
4,DRY_RUN,0,0.0,Fertilization | PPO | nonadaptive | random_weather | years=1000 | seed=0,fertilization,PPO,False,False,False,0,total_years=1000,runs\experiment_summaries\metrics\004_fertilization_ppo_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method PPO --total-years 1000 --n-process 8 --eval-freq 20000 --seed 0 --nutrient-action-mode NPK --price-profile pakistan_baseline --maxN 150.0 --maxP 80.0 --maxK 60.0 --p-actions 11 --k-actions 11 --n-nh4-rate 0.75 --nonadaptive --summary-json 'runs\experiment_summaries\metrics\004_fertilization_ppo_seed0_hFalse.json'
5,DRY_RUN,0,0.0,Fertilization | A2C | adaptive | fixed_weather | years=1000 | seed=0,fertilization,A2C,True,False,True,0,total_years=1000,runs\experiment_summaries\metrics\005_fertilization_a2c_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method A2C --total-years 1000 --n-process 8 --eval-freq 20000 --seed 0 --nutrient-action-mode NPK --price-profile pakistan_baseline --maxN 150.0 --maxP 80.0 --maxK 60.0 --p-actions 11 --k-actions 11 --n-nh4-rate 0.75 --fixed-weather --summary-json 'runs\experiment_summaries\metrics\005_fertilization_a2c_seed0_hFalse.json'
6,DRY_RUN,0,0.0,Fertilization | A2C | nonadaptive | fixed_weather | years=1000 | seed=0,fertilization,A2C,False,False,True,0,total_years=1000,runs\experiment_summaries\metrics\006_fertilization_a2c_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method A2C --total-years 1000 --n-process 8 --eval-freq 20000 --seed 0 --nutrient-action-mode NPK --price-profile pakistan_baseline --maxN 150.0 --maxP 80.0 --maxK 60.0 --p-actions 11 --k-actions 11 --n-nh4-rate 0.75 --fixed-weather --nonadaptive --summary-json 'runs\experiment_summaries\metrics\006_fertilization_a2c_seed0_hFalse.json'
7,DRY_RUN,0,0.0,Fertilization | A2C | adaptive | random_weather | years=1000 | seed=0,fertilization,A2C,True,False,False,0,total_years=1000,runs\experiment_summaries\metrics\007_fertilization_a2c_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method A2C --total-years 1000 --n-process 8 --eval-freq 20000 --seed 0 --nutrient-action-mode NPK --price-profile pakistan_baseline --maxN 150.0 --maxP 80.0 --maxK 60.0 --p-actions 11 --k-actions 11 --n-nh4-rate 0.75 --summary-json 'runs\experiment_summaries\metrics\007_fertilization_a2c_seed0_hFalse.json'
8,DRY_RUN,0,0.0,Fertilization | A2C | nonadaptive | random_weather | years=1000 | seed=0,fertilization,A2C,False,False,False,0,total_years=1000,runs\experiment_summaries\metrics\008_fertilization_a2c_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/fertilization/train.py --method A2C --total-years 1000 --n-process 8 --eval-freq 20000 --seed 0 --nutrient-action-mode NPK --price-profile pakistan_baseline --maxN 150.0 --maxP 80.0 --maxK 60.0 --p-actions 11 --k-actions 11 --n-nh4-rate 0.75 --nonadaptive --summary-json 'runs\experiment_summaries\metrics\008_fertilization_a2c_seed0_hFalse.json'
9,DRY_RUN,0,0.0,Crop planning | PPO | adaptive | fixed_weather | seed=0,crop_planning,PPO,True,False,True,0,total_timesteps=500(default),runs\experiment_summaries\metrics\009_crop_planning_ppo_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/crop_planning/train.py --method PPO --fixed_weather True --non_adaptive False --seed 0 --summary-json 'runs\experiment_summaries\metrics\009_crop_planning_ppo_seed0_hFalse.json'
10,DRY_RUN,0,0.0,Crop planning | PPO | nonadaptive | fixed_weather | seed=0,crop_planning,PPO,False,False,True,0,total_timesteps=500(default),runs\experiment_summaries\metrics\010_crop_planning_ppo_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/crop_planning/train.py --method PPO --fixed_weather True --non_adaptive True --seed 0 --summary-json 'runs\experiment_summaries\metrics\010_crop_planning_ppo_seed0_hFalse.json'
11,DRY_RUN,0,0.0,Crop planning | PPO | adaptive | random_weather | seed=0,crop_planning,PPO,True,False,False,0,total_timesteps=500(default),runs\experiment_summaries\metrics\011_crop_planning_ppo_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/crop_planning/train.py --method PPO --fixed_weather False --non_adaptive False --seed 0 --summary-json 'runs\experiment_summaries\metrics\011_crop_planning_ppo_seed0_hFalse.json'
12,DRY_RUN,0,0.0,Crop planning | PPO | nonadaptive | random_weather | seed=0,crop_planning,PPO,False,False,False,0,total_timesteps=500(default),runs\experiment_summaries\metrics\012_crop_planning_ppo_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/crop_planning/train.py --method PPO --fixed_weather False --non_adaptive True --seed 0 --summary-json 'runs\experiment_summaries\metrics\012_crop_planning_ppo_seed0_hFalse.json'
13,DRY_RUN,0,0.0,Crop planning | A2C | adaptive | fixed_weather | seed=0,crop_planning,A2C,True,False,True,0,total_timesteps=500(default),runs\experiment_summaries\metrics\013_crop_planning_a2c_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/crop_planning/train.py --method A2C --fixed_weather True --non_adaptive False --seed 0 --summary-json 'runs\experiment_summaries\metrics\013_crop_planning_a2c_seed0_hFalse.json'
14,DRY_RUN,0,0.0,Crop planning | A2C | nonadaptive | fixed_weather | seed=0,crop_planning,A2C,False,False,True,0,total_timesteps=500(default),runs\experiment_summaries\metrics\014_crop_planning_a2c_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/crop_planning/train.py --method A2C --fixed_weather True --non_adaptive True --seed 0 --summary-json 'runs\experiment_summaries\metrics\014_crop_planning_a2c_seed0_hFalse.json'
15,DRY_RUN,0,0.0,Crop planning | A2C | adaptive | random_weather | seed=0,crop_planning,A2C,True,False,False,0,total_timesteps=500(default),runs\experiment_summaries\metrics\015_crop_planning_a2c_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/crop_planning/train.py --method A2C --fixed_weather False --non_adaptive False --seed 0 --summary-json 'runs\experiment_summaries\metrics\015_crop_planning_a2c_seed0_hFalse.json'
16,DRY_RUN,0,0.0,Crop planning | A2C | nonadaptive | random_weather | seed=0,crop_planning,A2C,False,False,False,0,total_timesteps=500(default),runs\experiment_summaries\metrics\016_crop_planning_a2c_seed0_hFalse.json,,,,,,,'C:\ProgramData\anaconda3\python.exe' experiments/crop_planning/train.py --method A2C --fixed_weather False --non_adaptive True --seed 0 --summary-json 'runs\experiment_summaries\metrics\016_crop_planning_a2c_seed0_hFalse.json'
