run_dir,run_id,domain,method,nonadaptive,fixed_weather,seed,total_years,total_timesteps,ent_coef,baseline,status,has_summary,fert_eval_test_det_mean_reward,fert_eval_test_sto_mean_reward,fert_deterministic_return,fert_stochastic_return_mean,fert_pak_holdout_return,crop_eval_det_mean_reward,crop_eval_sto_mean_reward,runtime_sec
run-20260223_211845-zyo19dh1,zyo19dh1,fertilization,PPO,false,true,0,5000,,0,false,ok,True,1387.053,1435.5458,1255.9578857421875,1013.76513671875,661.215087890625,,,4102.0
run-20260223_222716-j96bmonb,j96bmonb,fertilization,PPO,false,false,0,5000,,0,false,failed_traceback,True,,,,,,,,368.0
run-20260223_223332-9fq5s5cw,9fq5s5cw,fertilization,PPO,true,true,0,5000,,0,false,ok,True,1385.914,1384.8455,1508.9178466796875,1260.773193359375,1074.5072021484375,,,3351.0
run-20260223_232931-5ti2n9os,5ti2n9os,fertilization,PPO,true,false,0,5000,,0,false,failed_traceback,True,,,,,,,,362.0
run-20260223_233542-jntdvvrj,jntdvvrj,fertilization,PPO,true,false,0,5000,,0.01,false,failed_traceback,True,,,,,,,,372.0
run-20260223_234202-7pf81og4,7pf81og4,unknown,,n/a,n/a,n/a,,,,False,no_summary,False,,,,,,,,
run-20260223_234457-h2dde51l,h2dde51l,unknown,,n/a,n/a,n/a,,,,False,no_summary,False,,,,,,,,
run-20260224_003234-f6s8sa7b,f6s8sa7b,unknown,,n/a,n/a,n/a,,,,False,no_summary,False,,,,,,,,
run-20260224_003538-6unwmvd4,6unwmvd4,fertilization,PPO,false,true,0,5000,,0,false,failed_traceback,True,1186.0851,1186.0851,1186.0850830078125,339.4129333496094,,,,2665.0
run-20260224_012015-pd5l6rp0,pd5l6rp0,fertilization,PPO,false,false,0,5000,,0,false,failed_traceback,True,,,,,,,,340.0
run-20260224_012604-7em5cn79,7em5cn79,fertilization,PPO,true,true,0,5000,,0,false,failed_traceback,True,1186.0851,1186.0851,1186.0850830078125,1186.0850830078125,,,,2448.0
run-20260224_020703-2ni3b3wz,2ni3b3wz,fertilization,PPO,true,false,0,5000,,0,false,failed_traceback,True,,,,,,,,344.0
run-20260224_021255-jv1bc8oc,jv1bc8oc,fertilization,PPO,true,false,0,5000,,0.01,false,failed_traceback,True,,,,,,,,343.0
run-20260224_021846-44loshiw,44loshiw,fertilization,PPO,false,false,0,25,,0,true,failed_traceback,True,,,,,,,,766.0
run-20260224_023139-na8sa0ll,na8sa0ll,crop_planning,PPO,False,True,1,,500,0,False,ok,True,,,,,,21683.79,19436.912,941.0
run-20260224_024728-nihqzg3y,nihqzg3y,crop_planning,PPO,False,False,1,,500,0,False,ok,True,,,,,,17403.996,18872.559,939.0
run-20260224_030315-b9ectdnu,b9ectdnu,crop_planning,PPO,True,True,1,,500,0,False,ok,True,,,,,,18848.514,15704.614,907.0
run-20260224_031830-1ey5et2m,1ey5et2m,crop_planning,PPO,True,False,1,,500,0,False,ok,True,,,,,,18469.4,15674.016,922.0
run-20260224_033359-thi3mfte,thi3mfte,fertilization,A2C,false,false,0,5000,,0,false,failed_traceback,True,,,,,,,,288.0
run-20260224_033855-zdf5msiv,zdf5msiv,fertilization,DQN,false,false,0,5000,,0,false,failed_traceback,True,,,,,,,,341.0
run-20260224_034445-8ocpqsgt,8ocpqsgt,crop_planning,A2C,False,True,1,,500,0,False,ok,True,,,,,,21292.441,20636.96,927.0
run-20260224_040019-531e6m94,531e6m94,crop_planning,DQN,True,False,1,,500,,False,failed_traceback,True,,,,,,,,1.0
run-20260224_083626-5auy5345,5auy5345,fertilization,PPO,false,false,0,5000,,0,false,ok,True,1186.0851,1186.0851,1186.0850830078125,1186.0850830078125,1154.0494384765625,,,3737.0
run-20260224_093850-wntgpnn8,wntgpnn8,fertilization,PPO,true,false,0,5000,,0,false,ok,True,1186.0851,1174.181,1186.0850830078125,1186.0850830078125,1143.6334228515625,,,3250.0
run-20260224_103308-cqi3te61,cqi3te61,fertilization,PPO,true,false,0,5000,,0.01,false,ok,True,1186.0851,1172.693,1186.0850830078125,1058.116943359375,1045.42529296875,,,3571.0
run-20260224_113247-ofcmswkl,ofcmswkl,fertilization,PPO,false,false,0,25,,0,true,ok,True,,,,,,,,1519.0
run-20260224_115813-ryiikyh2,ryiikyh2,crop_planning,PPO,False,True,1,,500,0,False,ok,True,,,,,,21683.79,19436.912,939.0
run-20260224_121401-t7z41gpn,t7z41gpn,crop_planning,PPO,False,False,1,,500,0,False,ok,True,,,,,,17403.996,18872.559,944.0
run-20260224_122953-pn2y0yb8,pn2y0yb8,crop_planning,PPO,True,True,1,,500,0,False,ok,True,,,,,,18848.514,15704.614,910.0
run-20260224_124511-f6pjgtck,f6pjgtck,crop_planning,PPO,True,False,1,,500,0,False,ok,True,,,,,,18469.4,15674.016,905.0
run-20260224_130024-mllfu143,mllfu143,fertilization,A2C,false,false,0,5000,,0,false,ok,True,1186.0851,1186.0851,1186.0850830078125,1186.0850830078125,1052.1207275390625,,,3064.0
run-20260224_135136-sqm0c8y3,sqm0c8y3,fertilization,DQN,false,false,0,5000,,0,false,failed_traceback,True,1007.5251,964.37305,,,,,,3508.0
run-20260224_145013-g2qwi6fs,g2qwi6fs,crop_planning,A2C,False,True,1,,500,0,False,ok,True,,,,,,21292.441,20636.96,960.0
run-20260224_150621-yk2yycaq,yk2yycaq,crop_planning,DQN,True,False,1,,500,,False,ok,True,,,,,,19553.072,19553.072,890.0
run-20260224_152912-w0a0c8y1,w0a0c8y1,fertilization,DQN,false,false,0,5000,,0,false,failed_traceback,True,1074.4852,930.1491,,,,,,3439.0
run-20260224_164248-kmbb082e,kmbb082e,fertilization,DQN,false,false,0,5000,,0,false,ok,True,1000.0851,931.637,1037.28515625,959.9089965820312,694.0274658203125,,,4494.0
run-20260224_185752-rcz1lnhp,rcz1lnhp,fertilization,PPO,false,true,1,1000,,0,false,failed_traceback,True,1178.645,1163.765,1186.0850830078125,1184.5970458984375,,,,744.0
run-20260224_191100-rhcm76wb,rhcm76wb,fertilization,PPO,false,false,1,1000,,0,false,ok,True,1186.0851,1105.7332,1186.0850830078125,1116.149169921875,991.8272705078125,,,1528.0
run-20260224_193637-ymv49o2g,ymv49o2g,fertilization,PPO,true,true,1,1000,,0,false,failed_traceback,True,1186.0851,1134.0051,1186.0850830078125,1177.156982421875,,,,799.0
run-20260224_195008-2zcfp5o6,2zcfp5o6,unknown,,n/a,n/a,n/a,,,,False,no_summary,False,,,,,,,,
run-20260224_195838-5kam2mj3,5kam2mj3,fertilization,PPO,false,true,1,1000,,0,false,ok,True,1033.3625,1012.53046,1033.362548828125,1031.8746337890625,1067.439208984375,,,1946.0
run-20260224_203112-gzkbihti,gzkbihti,fertilization,PPO,false,false,1,1000,,0,false,ok,True,1186.0851,1077.4612,1186.0850830078125,1119.1251220703125,1025.3072509765625,,,1797.0
run-20260224_210118-tkno4xr3,tkno4xr3,fertilization,PPO,true,true,1,1000,,0,false,ok,True,1033.3625,981.2826,1033.362548828125,1024.4345703125,1061.487060546875,,,1479.0
run-20260224_212605-mwwea66l,mwwea66l,fertilization,PPO,true,false,1,1000,,0,false,ok,True,1186.0851,1095.3171,1186.0850830078125,1126.5650634765625,1033.8631591796875,,,1545.0
run-20260224_215159-3ptz7pn0,3ptz7pn0,fertilization,PPO,false,true,2,1000,,0,false,ok,True,1033.3625,1014.01855,1033.362548828125,1018.4826049804688,1073.7633056640625,,,1393.0
run-20260224_221520-1cpah98p,1cpah98p,fertilization,PPO,false,false,2,1000,,0,false,ok,True,1178.645,980.741,1186.0850830078125,1074.485107421875,1009.3845825195312,,,1509.0
run-20260224_224040-sd6ifap3,sd6ifap3,fertilization,PPO,true,true,2,1000,,0,false,ok,True,1033.3625,994.6746,1033.362548828125,1019.9705200195312,1067.4390869140625,,,1432.0
run-20260224_230440-a5pyut65,a5pyut65,fertilization,PPO,true,false,2,1000,,0,false,ok,True,1186.0851,1113.1731,1186.0850830078125,1171.205078125,1075.228515625,,,1451.0
run-20260224_232859-2msq965o,2msq965o,fertilization,PPO,false,true,1,3000,,0,false,ok,True,1033.3625,1033.3625,1033.362548828125,1033.362548828125,1068.18310546875,,,2883.0
run-20260225_001711-yybg6qrs,yybg6qrs,fertilization,PPO,false,false,1,3000,,0,false,ok,True,1186.0851,1177.157,1186.0850830078125,1165.253173828125,956.7161865234375,,,2993.0
run-20260225_010712-b09p7t7h,b09p7t7h,fertilization,PPO,true,true,1,3000,,0,false,ok,True,787.8425,771.47455,1003.6025390625,1009.5545043945312,1046.9791259765625,,,2528.0
run-20260225_014928-9wj087s8,9wj087s8,fertilization,PPO,true,false,1,3000,,0,false,ok,True,1186.0851,1183.1091,1186.0850830078125,1186.0850830078125,978.6643676757812,,,2420.0
run-20260225_022957-h6ud31bx,h6ud31bx,fertilization,PPO,false,true,2,3000,,0,false,ok,True,914.3226,642.01855,1033.362548828125,1021.4586181640625,1061.859130859375,,,2462.0
run-20260225_031108-vp4jl6b8,vp4jl6b8,fertilization,PPO,false,false,2,3000,,0,false,ok,True,1186.0851,1154.837,1186.0850830078125,1183.109130859375,981.7435302734375,,,2439.0
run-20260225_035154-782eu1ak,782eu1ak,fertilization,PPO,true,true,2,3000,,0,false,ok,True,1033.3625,1033.3625,1033.362548828125,1033.362548828125,1074.5072021484375,,,2266.0
run-20260225_042949-aawpnaci,aawpnaci,fertilization,PPO,true,false,2,3000,,0,false,ok,True,1186.0851,1180.133,1186.0850830078125,1184.5970458984375,981.3714599609375,,,2383.0
run-20260225_050939-63z163gh,63z163gh,fertilization,PPO,false,true,1,5000,,0,false,ok,True,1033.3625,1021.4586,-2761.037353515625,-2097.389892578125,-1934.601318359375,,,4647.0
run-20260225_062715-0cqz6lud,0cqz6lud,fertilization,PPO,false,false,1,5000,,0,false,ok,True,1186.0851,1186.0851,1186.0850830078125,1183.109130859375,1082.4228515625,,,3894.0
run-20260225_073218-8fzuvkvl,8fzuvkvl,fertilization,PPO,true,true,1,5000,,0,false,ok,True,1033.3625,1033.3625,1033.362548828125,1033.362548828125,1074.5072021484375,,,3286.0
run-20260225_082712-0mjd7jez,0mjd7jez,fertilization,PPO,true,false,1,5000,,0,false,ok,True,1186.0851,1186.0851,1186.0850830078125,1186.0850830078125,1088.002685546875,,,3252.0
run-20260225_092133-blp1xm98,blp1xm98,fertilization,PPO,false,true,2,5000,,0,false,ok,True,810.1625,697.0744,1033.362548828125,993.1865234375,1000.1070556640625,,,3313.0
run-20260225_101655-uu2960yk,uu2960yk,fertilization,PPO,false,false,2,5000,,0,false,ok,True,1186.0851,1180.133,1186.0850830078125,1186.0850830078125,1156.7418212890625,,,3447.0
run-20260225_111431-fw0i203b,fw0i203b,fertilization,PPO,true,true,2,5000,,0,false,ok,True,1033.3625,1033.3625,1033.362548828125,1033.362548828125,1074.5072021484375,,,3140.0
run-20260225_120700-xw0jtd6e,xw0jtd6e,fertilization,PPO,true,false,2,5000,,0,false,ok,True,1186.0851,1184.597,1186.0850830078125,1136.9810791015625,1097.2218017578125,,,3213.0
